time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1594369399.12369680,0.01863718,13445,0.00177574,0.00000000,0,0.00000000,4365,5482,1740,0.00000000
1594369399.22366619,0.02236183,13460,0.00182768,0.00000000,0,0.00000000,5482,5752,1394,0.00432339
1594369399.32357430,0.01607288,13434,0.00142265,0.00000000,0,0.00000000,5752,5997,1102,0.00824536
1594369399.42353845,0.01609968,13461,0.00124196,0.00000000,0,0.00000000,5997,6221,938,0.00405399
1594369399.52334213,0.01322037,13465,0.00140574,0.00000000,0,0.00000000,6221,6253,855,0.00812360
1594369399.62319326,0.01020794,13468,0.00119482,0.00000000,0,0.00000000,6253,6549,887,0.00813316
1594369399.72307587,0.02042543,13471,0.00124356,0.00000000,0,0.00000000,6549,6735,884,0.00726192
1594369399.82299638,0.01280142,13479,0.00132445,0.00000000,0,0.00000000,6735,6886,912,0.00820307
1594369399.92296267,0.02309639,13471,0.00154807,0.00000000,0,0.00000000,6886,7152,1055,0.00832729
1594369400.02300572,0.03217970,13489,0.00120183,0.00000000,0,0.00000000,7152,7497,910,0.00370115
1594369400.12306285,0.01334104,13496,0.00133138,0.00000000,0,0.00000000,7497,7600,880,0.00544529
1594369400.22312832,0.02073236,13494,0.00091471,0.00000000,0,0.00000000,7600,7751,580,0.00878779
1594369400.32311726,0.02261909,13489,0.00084447,0.00000000,0,0.00000000,7751,7699,478,0.00326414
1594369400.42314982,0.01595180,13498,0.00058886,0.00000000,0,0.00000000,7699,7825,399,0.00325873
1594369400.52309847,0.02140664,13490,0.00063595,0.00000000,0,0.00000000,7825,7955,430,0.00266178
1594369400.62311172,0.02271248,13491,0.00064196,0.00000000,0,0.00000000,7955,7899,365,0.00480747
1594369400.72311139,0.02315645,13492,0.00048388,0.00000000,0,0.00000000,7899,7992,323,0.00463413
1594369400.82313919,0.02358176,13476,0.00036811,0.00000000,0,0.00000000,7992,8071,236,0.00264781
1594369400.92318225,0.02322775,13496,0.00034513,0.00000000,0,0.00000000,8071,8148,231,0.00875510
1594369401.02315784,0.02183451,13482,0.00047607,0.00000000,0,0.00000000,8148,8162,241,0.00501951
1594369401.12323523,0.02372185,13483,0.00026818,0.00000000,0,0.00000000,8162,8191,174,0.00264849
1594369401.22318935,0.01164053,13483,0.00025213,0.00000000,0,0.00000000,8191,8220,163,0.00263292
1594369401.32308412,0.02732821,13472,0.00046924,0.00000000,0,0.00000000,8220,8262,187,0.00267598
1594369401.42311072,0.02205862,13487,0.00031318,0.00000000,0,0.00000000,8262,8247,178,0.00284977
1594369401.52304626,0.02364308,13477,0.00035794,0.00000000,0,0.00000000,8247,8272,218,0.00521792
1594369401.62303305,0.02165122,13476,0.00041702,0.00000000,0,0.00000000,8272,8313,227,0.00265966
1594369401.72303510,0.02001281,13475,0.00044671,0.00000000,0,0.00000000,8313,8370,294,0.00264892
1594369401.82302856,0.02336234,13489,0.00041236,0.00000000,0,0.00000000,8370,8386,250,0.00265808
1594369401.92301750,0.01927989,13489,0.00043435,0.00000000,0,0.00000000,8386,8353,238,0.00266225
1594369402.02300191,0.02399268,13488,0.00059357,0.00000000,0,0.00000000,8353,8339,305,0.00270956
1594369402.12299395,0.02159525,13493,0.00031666,0.00000000,0,0.00000000,8339,8371,191,0.00303971
1594369402.22297120,0.02440602,13499,0.00026012,0.00000000,0,0.00000000,8371,8376,154,0.00190158
1594369402.32296276,0.02348477,13502,0.00024120,0.00000000,0,0.00000000,8376,8392,136,0.00263886
1594369402.42298222,0.02242094,13508,0.00021879,0.00000000,0,0.00000000,8392,8425,132,0.00269689
1594369402.52301192,0.01210433,13496,0.00025553,0.00000000,0,0.00000000,8425,8427,148,0.00269261
1594369402.62306023,0.02290327,13508,0.00024938,0.00000000,0,0.00000000,8427,8529,174,0.00315582
1594369402.72307229,0.02367590,13508,0.00036774,0.00000000,0,0.00000000,8529,8520,217,0.00261302
1594369402.82309198,0.02349435,13519,0.00026326,0.00000000,0,0.00000000,8520,8557,170,0.00308865
1594369402.92309546,0.01102864,13489,0.00025754,0.00000000,0,0.00000000,8557,8493,131,0.00344051
1594369403.02312613,0.02217842,13490,0.00020383,0.00000000,0,0.00000000,8493,8500,103,0.00271713
1594369403.12306523,0.02256741,13473,0.00032560,0.00000000,0,0.00000000,8500,8536,206,0.00307503
1594369403.22303534,0.01350120,13426,0.00053201,0.00000000,0,0.00000000,8536,8524,339,0.00268151
1594369403.32320094,0.02426455,13479,0.00052608,0.00000000,0,0.00000000,8524,8651,386,0.00266768
1594369403.42330694,0.02063717,13517,0.00067131,0.00000000,0,0.00000000,8651,8724,407,0.00306337
1594369403.52335739,0.02400507,13525,0.00072897,0.00000000,0,0.00000000,8724,8667,432,0.00264241
1594369403.62341690,0.02326363,13530,0.00054871,0.00000000,0,0.00000000,8667,8745,377,0.00308920
1594369403.72336745,0.02369874,13537,0.00065636,0.00000000,0,0.00000000,8745,8839,454,0.00307621
1594369403.82330704,0.02404230,13545,0.00070378,0.00000000,0,0.00000000,8839,8843,452,0.00302583
1594369403.92320585,0.02387664,13560,0.00051948,0.00000000,0,0.00000000,8843,8877,336,0.00512800
1594369404.02305889,0.02177910,13546,0.00032095,0.00000000,0,0.00000000,8877,8907,205,0.00266194
1594369404.12298703,0.01119716,13543,0.00028996,0.00000000,0,0.00000000,8907,8988,197,0.00335419
1594369404.22292352,0.02211545,13537,0.00034474,0.00000000,0,0.00000000,8988,9045,224,0.00338269
1594369404.32291961,0.02236365,13533,0.00049694,0.00000000,0,0.00000000,9045,9103,300,0.00265288
1594369404.42299271,0.02219458,13555,0.00039393,0.00000000,0,0.00000000,9103,9212,277,0.00268781
1594369404.52305722,0.02451372,13562,0.00030956,0.00000000,0,0.00000000,9212,9176,176,0.00268530
1594369404.62307072,0.02169336,13548,0.00026711,0.00000000,0,0.00000000,9176,9237,179,0.00263579
1594369404.72306466,0.02421953,13546,0.00026560,0.00000000,0,0.00000000,9237,9332,154,0.00261165
1594369404.82306767,0.02325909,13536,0.00018674,0.00000000,0,0.00000000,9332,9368,115,0.00266401
1594369404.92309165,0.02231267,13535,0.00021614,0.00000000,0,0.00000000,9368,9376,120,0.00181784
1594369405.02312207,0.02326562,13539,0.00018475,0.00000000,0,0.00000000,9376,9415,92,0.00275911
1594369405.12311506,0.02388579,13534,0.00025651,0.00000000,0,0.00000000,9415,9356,110,0.00265534
1594369405.22311711,0.02237659,13540,0.00017122,0.00000000,0,0.00000000,9356,9400,105,0.00273438
1594369405.32306504,0.02336493,13538,0.00022454,0.00000000,0,0.00000000,9400,9411,131,0.00305839
1594369405.42302036,0.01090863,13546,0.00021841,0.00000000,0,0.00000000,9411,9442,129,0.00243449
1594369405.52299523,0.02216072,13551,0.00025394,0.00000000,0,0.00000000,9442,9480,155,0.00319008
1594369405.62294579,0.02579037,13538,0.00068652,0.00000000,0,0.00000000,9480,9014,173,0.00264695
1594369405.72294331,0.02816702,13529,0.00022175,0.00000000,0,0.00000000,9014,9063,131,0.00267367
1594369405.82301331,0.01364147,13535,0.00022713,0.00000000,0,0.00000000,9063,9095,134,0.00267972
1594369405.92302012,0.02403647,13527,0.00026484,0.00000000,0,0.00000000,9095,9085,147,0.00241008
